lsoa11cd,gamb_dist,pubs_dist,off_dist
E01007127,0.300540541,0.345945946,0.535945946
E01007128,0.315,0.2445,0.561375
E01007129,0.306590909,0.248636364,0.423181818
E01007130,0.658235294,0.636176471,0.769117647
E01007131,0.845128205,0.876153846,0.925641026
E01007133,0.472361111,0.785694444,1.404861111
E01007135,0.779,0.622857143,0.791
E01007136,0.698444444,0.714444444,0.815777778
E01007137,0.772745098,0.792745098,0.776862745
E01007138,0.541621622,0.522162162,0.762702703
E01007139,0.576,0.488857143,0.559428571
E01007140,0.91,0.692708333,1.233958333
E01007141,0.598666667,0.526333333,0.944
E01007142,1.237727273,0.822575758,1.315757576
E01007143,1.805357143,1.178928571,1.877142857
E01007144,3.463235294,1.871323529,3.404852941
E01007145,1.641935484,0.771290323,1.161612903
E01007146,1.606862745,0.751764706,1.126078431
E01007147,2.0395,1.1595,1.55875
E01007148,1.385227273,1.3325,2.699772727
E01007149,1.061904762,1.008095238,1.734285714
E01007150,1.5521875,1.5159375,1.0825
E01007151,0.991935484,0.800322581,1.086774194
E01007152,0.486851852,0.38962963,0.612592593
E01007153,0.786,0.637142857,0.680571429
E01007154,1.163939394,0.59,0.692727273
E01007155,0.656521739,0.663043478,0.794565217
E01007156,0.542758621,1.500689655,1.535862069
E01007157,0.5321875,1.85875,1.355625
E01007158,0.67047619,1.485714286,1.359047619
E01007159,1.326101695,2.018983051,1.774576271
E01007160,1.020263158,0.943421053,0.750263158
E01007161,0.926388889,1.634444444,1.630277778
E01007162,1.558387097,2.108064516,2.186451613
E01007163,2.058163265,1.57122449,1.67755102
E01007164,0.983957447,0.684446809,2.262914894
E01007165,1.323333333,1.339333333,1.362666667
E01007166,0.948518519,1.038148148,1.248148148
E01007167,0.661785714,0.800357143,1.713928571
E01007168,1.114146341,1.186341463,0.874390244
E01007169,0.84,0.807234043,1.90212766
E01007170,0.639047619,0.75452381,1.006428571
E01007171,0.944137931,1.065862069,1.41862069
E01007172,0.804054054,0.778378378,1.768108108
E01007173,0.8988,0.794,1.2908
E01007174,0.53,0.55516129,0.919032258
E01007175,0.706551724,0.908275862,1.753793103
E01007176,0.555625,0.845625,1.4421875
E01007177,1.014545455,0.927878788,1.160909091
E01007178,1.14516129,0.527419355,1.759677419
E01007179,0.530357143,0.655,0.716071429
E01007180,0.273448276,0.377586207,0.445862069
E01007181,0.349354839,0.303548387,0.441935484
E01007182,0.706190476,0.556031746,0.700634921
E01007183,1.108974359,1.600512821,1.051794872
E01007184,0.665277778,0.873055556,0.665277778
E01007185,0.657435897,0.518717949,0.553076923
E01007186,2.403,1.197,1.8365
E01007187,1.8465,1.625,1.8465
E01007188,1.66547619,0.918571429,1.160714286
E01007189,1.290163934,0.56295082,0.799344262
E01007190,1.631639344,1.310655738,1.500327869
E01007191,2.2916,1.0812,1.7068
E01007192,1.415806452,1.508064516,1.391612903
E01007193,0.703984127,0.403746032,1.096222222
E01007194,0.428333333,0.39,0.733055556
E01007195,1.993396226,0.915471698,0.79509434
E01007196,0.687962963,0.490185185,0.617222222
E01007197,1.023636364,0.516909091,0.672363636
E01007198,0.442142857,0.340535714,0.217678571
E01007199,1.839183673,0.593673469,0.624897959
E01007200,1.247916667,0.444791667,0.647291667
E01007201,0.498461538,0.437692308,0.381538462
E01007202,0.576521739,0.488913043,0.676956522
E01007203,1.966428571,2.324047619,2.28047619
E01007204,2.5064,2.84,2.3272
E01007205,2.33962963,2.421851852,2.522592593
E01007206,1.193571429,1.251428571,1.389761905
E01007207,0.527037037,0.897407407,0.894814815
E01007208,0.624878049,0.592439024,0.73195122
E01007209,1.114054054,1.022972973,1.221351351
E01007210,2.217,2.54725,2.06525
E01007211,0.744814815,0.847777778,0.938148148
E01007212,0.576,0.439,0.8345
E01007213,0.907608696,0.767173913,1.155869565
E01007214,0.584146341,0.414390244,0.800243902
E01007215,1.093023256,1.23,0.708604651
E01007216,0.6265625,0.4415625,0.508125
E01007217,0.252222222,0.172037037,0.332407407
E01007218,0.878857143,0.767428571,0.767428571
E01007219,0.688709677,0.747096774,0.833548387
E01007220,0.7434375,1.2575,0.523125
E01007221,0.3375,0.392222222,0.773055556
E01007222,0.937560976,0.564878049,1.680243902
E01007223,1.606551724,1.187586207,1.793793103
E01007224,0.9159375,0.5421875,1.7096875
E01007225,1.035681818,0.884772727,1.011136364
E01007226,0.643571429,0.762380952,1.065
E01007227,0.471463415,0.556097561,0.627073171
E01007228,1.122647059,1.032647059,1.286764706
E01007229,0.323513514,1.052972973,1.628648649
E01007230,0.505714286,1.120357143,1.876071429
E01007231,0.44,0.798780488,1.956341463
E01007232,0.96516129,1.145806452,1.23483871
E01007233,0.473695652,0.981304348,1.17673913
E01007234,0.70025641,1.303076923,1.484358974
E01007235,0.644444444,0.333055556,0.886944444
E01007236,0.913846154,0.802307692,0.833846154
E01007237,0.873157895,0.904473684,2.581842105
E01007238,0.279142857,0.687142857,2.286285714
E01007239,0.787,0.37425,0.48225
E01007240,1.371842105,0.551315789,0.436315789
E01007241,1.830020408,0.630714286,0.749387755
E01007242,1.1990625,0.4846875,0.40203125
E01007243,0.786851852,0.458333333,0.567037037
E01007244,0.733939394,0.684848485,0.582424242
E01007245,1.204,0.467333333,1.472
E01007246,1.848318182,0.723636364,1.670636364
E01007247,1.555217391,0.65173913,2.34
E01007248,0.548055556,0.525,1.180277778
E01007249,0.732,0.7096,2.2332
E01007250,1.115517241,0.672068966,2.00862069
E01007251,1.258823529,0.459411765,1.892647059
E01007252,1.832564103,1.514102564,3.202307692
E01007253,1.671818182,0.976666667,2.253333333
E01007254,1.155384615,1.025897436,1.637179487
E01007255,1.597272727,0.534772727,1.714090909
E01007256,0.9875,1.17875,1.1135
E01007257,0.572580645,0.720322581,1.394193548
E01007258,2.551351351,2.297837838,1.961351351
E01007259,0.556315789,0.584210526,0.644736842
E01007260,1.783888889,1.268611111,0.745277778
E01007261,1.08326087,0.991521739,1.733043478
