month,long,lat,type
2019-03,-0.1059,51.516966,Anti-social behaviour
2019-03,-0.10628199999999999,51.51191,Anti-social behaviour
2019-03,-0.09832,51.519344,Anti-social behaviour
2019-03,-0.105157,51.513329999999996,Anti-social behaviour
2019-03,-0.104281,51.516032,Anti-social behaviour
2019-03,-0.09981799999999999,51.519017,Anti-social behaviour
2019-03,-0.108453,51.515173,Anti-social behaviour
2019-03,-0.1045,51.511449,Anti-social behaviour
2019-03,-0.101345,51.518709,Anti-social behaviour
2019-03,-0.1059,51.516966,Anti-social behaviour
2019-03,-0.105157,51.513329999999996,Anti-social behaviour
2019-03,-0.111132,51.51242,Anti-social behaviour
2019-03,-0.10328,51.514109000000005,Anti-social behaviour
2019-03,-0.11070999999999999,51.513914,Anti-social behaviour
2019-03,-0.1045,51.511449,Anti-social behaviour
2019-03,-0.09721,51.523156,Anti-social behaviour
2019-03,-0.09721,51.523156,Anti-social behaviour
2019-03,-0.07908,51.519615,Anti-social behaviour
2019-03,-0.078779,51.508971,Anti-social behaviour
2019-03,-0.074901,51.506254999999996,Anti-social behaviour
2019-03,0.140192,51.582311,Anti-social behaviour
2019-03,0.13706500000000002,51.583672,Anti-social behaviour
2019-03,0.134947,51.588063,Anti-social behaviour
2019-03,0.127683,51.585524,Anti-social behaviour
2019-03,0.128479,51.583414000000005,Anti-social behaviour
2019-03,0.13168,51.586432,Anti-social behaviour
2019-03,0.132608,51.577881,Anti-social behaviour
2019-03,0.133206,51.579543,Anti-social behaviour
2019-03,0.132608,51.577881,Anti-social behaviour
2019-03,0.131173,51.582376000000004,Anti-social behaviour
2019-03,0.131173,51.582376000000004,Anti-social behaviour
2019-03,0.138439,51.578503000000005,Anti-social behaviour
2019-03,0.132608,51.577881,Anti-social behaviour
2019-03,0.132608,51.577881,Anti-social behaviour
2019-03,0.128655,51.581621999999996,Anti-social behaviour
2019-03,0.143495,51.568168,Anti-social behaviour
2019-03,0.147787,51.568296000000004,Anti-social behaviour
2019-03,0.140847,51.569528999999996,Anti-social behaviour
2019-03,0.145556,51.567789000000005,Anti-social behaviour
2019-03,0.140847,51.569528999999996,Anti-social behaviour
2019-03,0.147787,51.568296000000004,Anti-social behaviour
2019-03,0.141982,51.572196999999996,Anti-social behaviour
2019-03,0.141982,51.572196999999996,Anti-social behaviour
2019-03,0.141982,51.572196999999996,Anti-social behaviour
2019-03,0.141982,51.572196999999996,Anti-social behaviour
2019-03,0.141982,51.572196999999996,Anti-social behaviour
2019-03,0.130685,51.569481,Anti-social behaviour
2019-03,0.132395,51.57087,Anti-social behaviour
2019-03,0.129754,51.568706,Anti-social behaviour
2019-03,0.134474,51.569951,Anti-social behaviour
2019-03,0.132395,51.57087,Anti-social behaviour
2019-03,0.168495,51.55466,Anti-social behaviour
2019-03,0.175454,51.558119,Anti-social behaviour
2019-03,0.175454,51.558119,Anti-social behaviour
2019-03,0.174593,51.556094,Anti-social behaviour
2019-03,0.175454,51.558119,Anti-social behaviour
2019-03,0.168495,51.55466,Anti-social behaviour
2019-03,0.168495,51.55466,Anti-social behaviour
2019-03,0.175537,51.564683,Anti-social behaviour
2019-03,0.18126199999999998,51.560404,Anti-social behaviour
2019-03,0.14519300000000002,51.557021999999996,Anti-social behaviour
2019-03,0.138292,51.559981,Anti-social behaviour
2019-03,0.138292,51.559981,Anti-social behaviour
2019-03,0.138292,51.559981,Anti-social behaviour
2019-03,0.146332,51.558242,Anti-social behaviour
2019-03,0.140444,51.557882,Anti-social behaviour
2019-03,0.145491,51.560891999999996,Anti-social behaviour
2019-03,0.140665,51.562599,Anti-social behaviour
2019-03,0.138924,51.562082000000004,Anti-social behaviour
2019-03,0.14202599999999999,51.561163,Anti-social behaviour
2019-03,0.150301,51.565912,Anti-social behaviour
2019-03,0.145998,51.563697999999995,Anti-social behaviour
2019-03,0.150301,51.565912,Anti-social behaviour
2019-03,0.165597,51.555613,Anti-social behaviour
2019-03,0.166522,51.556243,Anti-social behaviour
2019-03,0.165597,51.555613,Anti-social behaviour
